UserId,UserAvgRating,UserVisitCount,UserUniqueAttractions,UserPreferredMode,UserPreferredType
14,4.666666666666667,3,2,Friends,Landmark
16,4.7,10,5,Family,Wildlife
20,4.0,1,1,Family,Water Park
23,5.0,1,1,Friends,Landmark
25,5.0,1,1,Friends,National Park
26,5.0,1,1,Couples,Landmark
27,4.0,1,1,Couples,Wildlife
28,5.0,1,1,Couples,Waterfall
29,5.0,1,1,Couples,Wildlife
32,4.0,1,1,Family,Wildlife
33,4.0,1,1,Couples,Wildlife
34,4.0,1,1,Family,Wildlife
37,4.0,1,1,Couples,Waterfall
39,4.0,1,1,Family,Beach
42,4.0,1,1,Family,Water Park
48,3.0,1,1,Couples,Waterfall
51,5.0,1,1,Couples,Wildlife
52,3.0,1,1,Family,Wildlife
54,3.0,1,1,Couples,Temple
56,1.0,1,1,Couples,Wildlife
57,3.0,1,1,Friends,Landmark
59,4.0,2,2,Couples,Beach
60,5.0,1,1,Couples,Landmark
61,5.0,2,2,Couples,Beach
65,5.0,1,1,Friends,Wildlife
67,4.0,2,2,Friends,Landmark
70,5.0,1,1,Couples,Wildlife
72,5.0,1,1,Couples,Landmark
79,3.0,1,1,Friends,Waterfall
83,5.0,1,1,Friends,Beach
85,5.0,2,2,Family,Beach
90,5.0,3,3,Solo,Beach
92,5.0,2,2,Solo,Waterfall
94,5.0,1,1,Couples,Beach
97,5.0,1,1,Solo,Wildlife
98,3.0,1,1,Couples,Beach
102,3.0,1,1,Couples,Beach
103,4.666666666666667,3,3,Couples,Beach
112,5.0,1,1,Family,Beach
113,4.0,1,1,Couples,Wildlife
116,2.0,1,1,Couples,Landmark
117,4.0,1,1,Couples,Wildlife
118,5.0,1,1,Family,Wildlife
119,5.0,1,1,Family,Water Park
122,5.0,1,1,Couples,Wildlife
125,4.0,2,2,Couples,Beach
129,4.5,2,2,Friends,Landmark
131,4.0,1,1,Friends,Waterfall
133,5.0,1,1,Family,Landmark
137,4.0,2,2,Couples,Palace
139,5.0,1,1,Friends,Beach
142,4.0,1,1,Family,Temple
147,3.6666666666666665,3,3,Couples,Temple
149,3.0,1,1,Friends,Beach
152,5.0,1,1,Couples,Water Park
153,3.0,1,1,Couples,Wildlife
154,5.0,1,1,Family,Water Park
155,2.0,1,1,Friends,Beach
156,4.0,1,1,Solo,Landmark
157,5.0,1,1,Friends,Beach
158,5.0,1,1,Family,Water Park
160,3.0,2,1,Couples,Landmark
162,5.0,1,1,Couples,Water Park
166,3.0,1,1,Couples,Beach
170,2.0,1,1,Couples,Temple
176,4.0,1,1,Family,Beach
177,5.0,1,1,Couples,Temple
180,5.0,1,1,Couples,Landmark
182,4.0,1,1,Solo,Temple
183,4.666666666666667,3,3,Friends,Beach
184,5.0,1,1,Solo,Wildlife
185,1.0,1,1,Couples,Volcano
187,4.0,1,1,Friends,Temple
189,3.0,1,1,Couples,Wildlife
190,5.0,1,1,Friends,Wildlife
191,5.0,1,1,Couples,Water Park
192,3.5,2,2,Couples,Waterfall
194,4.166666666666667,6,3,Friends,Water Park
196,3.0,2,2,Family,Temple
199,4.0,1,1,Couples,Wildlife
200,5.0,1,1,Family,Temple
208,5.0,1,1,Family,Water Park
213,5.0,1,1,Solo,Landmark
218,5.0,1,1,Couples,Wildlife
228,4.333333333333333,3,3,Couples,Landmark
230,4.0,3,3,Family,Beach
231,5.0,2,2,Couples,Landmark
234,5.0,1,1,Solo,Beach
239,5.0,1,1,Couples,Wildlife
240,4.5,2,2,Family,Landmark
242,4.0,1,1,Couples,Beach
247,2.0,2,2,Couples,Beach
249,4.0,3,3,Couples,Landmark
255,4.0,1,1,Friends,Water Park
256,5.0,1,1,Friends,Water Park
266,3.857142857142857,7,5,Family,Landmark
267,5.0,1,1,Couples,Landmark
268,4.0,1,1,Family,Water Park
269,4.5,2,2,Family,Water Park
271,3.0,1,1,Couples,Wildlife
272,5.0,1,1,Couples,Wildlife
274,5.0,2,2,Friends,Landmark
276,5.0,2,2,Family,Temple
277,5.0,1,1,Couples,Landmark
279,5.0,1,1,Couples,Water Park
286,4.0,2,2,Couples,Palace
288,4.0,1,1,Couples,Wildlife
296,4.0,1,1,Family,Wildlife
302,3.0,1,1,Couples,Beach
303,4.0,1,1,Family,Beach
315,4.0,1,1,Family,Wildlife
316,1.0,1,1,Couples,Beach
317,4.0,2,2,Couples,Beach
319,5.0,1,1,Family,Wildlife
320,4.5,2,2,Couples,Beach
327,3.0,1,1,Family,Wildlife
328,5.0,1,1,Friends,Wildlife
336,3.0,1,1,Family,Beach
337,5.0,1,1,Friends,Water Park
339,4.0,5,4,Friends,Beach
340,4.0,1,1,Friends,Wildlife
341,4.5,2,2,Friends,Beach
346,5.0,1,1,Couples,Beach
348,5.0,1,1,Family,Water Park
349,5.0,1,1,Couples,Wildlife
351,4.0,1,1,Family,Wildlife
356,5.0,1,1,Couples,Water Park
359,5.0,1,1,Family,Water Park
361,5.0,2,2,Friends,Waterfall
365,2.0,1,1,Friends,Landmark
369,4.0,1,1,Friends,Beach
378,4.5,2,2,Couples,Beach
382,4.4,5,4,Family,Temple
386,4.0,3,3,Friends,Beach
388,5.0,1,1,Couples,Beach
390,5.0,1,1,Couples,Landmark
393,4.0,1,1,Couples,Temple
396,3.0,1,1,Couples,Landmark
397,4.0,2,2,Family,Beach
399,4.0,4,4,Family,Beach
404,4.5,2,2,Family,Water Park
408,4.8,5,5,Couples,Beach
410,5.0,1,1,Business,Wildlife
418,4.0,1,1,Family,Temple
419,5.0,2,2,Couples,Beach
421,5.0,1,1,Solo,Wildlife
422,5.0,1,1,Solo,Beach
425,2.3333333333333335,3,2,Family,Wildlife
426,2.0,1,1,Family,Beach
430,4.75,4,4,Family,Landmark
432,4.5,2,2,Family,Landmark
433,4.0,1,1,Couples,Temple
435,4.0,1,1,Friends,Landmark
442,4.0,2,1,Friends,Temple
444,5.0,2,2,Couples,Landmark
445,4.0,1,1,Friends,Water Park
446,5.0,2,2,Family,Temple
447,4.0,1,1,Family,Temple
455,4.0,1,1,Couples,Wildlife
456,5.0,1,1,Family,Beach
459,4.5,4,3,Family,Beach
462,4.5,2,1,Family,Water Park
464,5.0,1,1,Couples,Wildlife
470,5.0,1,1,Couples,Water Park
476,2.0,1,1,Solo,Waterfall
478,5.0,1,1,Family,Wildlife
480,3.2,5,4,Family,Temple
484,5.0,1,1,Couples,Water Park
485,5.0,1,1,Family,Water Park
488,5.0,1,1,Couples,Wildlife
490,5.0,1,1,Friends,National Park
494,5.0,1,1,Friends,Waterfall
501,5.0,2,2,Family,Beach
503,4.0,1,1,Family,Water Park
511,5.0,1,1,Family,Beach
512,2.0,1,1,Family,Wildlife
515,5.0,1,1,Couples,Wildlife
516,5.0,1,1,Family,Temple
517,5.0,1,1,Family,National Park
518,4.0,1,1,Solo,Beach
521,2.0,1,1,Couples,Beach
525,5.0,1,1,Couples,Wildlife
527,3.5,2,2,Friends,Beach
528,4.5,2,2,Couples,Water Park
542,3.0,1,1,Friends,Landmark
545,5.0,1,1,Family,Water Park
550,4.0,1,1,Family,Wildlife
554,4.5,2,2,Couples,Temple
565,4.0,1,1,Family,Temple
568,3.875,8,6,Couples,Beach
